,molecule,size,density_avg,density_std
0,pentane,512,0.6049332024085741,0.005858417594557354
1,pentane,1024,0.6051335658289871,0.003997580396323052
2,pentane,2048,0.6048198968748317,0.002745931985540126
3,hexane,512,0.6428915601772852,0.005096766115686647
4,hexane,1024,0.6422992532534468,0.003669032934427286
5,hexane,2048,0.6422525064862131,0.0026430195409276602
6,heptane,512,0.6689766926965433,0.004763390735226233
7,heptane,1024,0.6699205155593136,0.0033416941950335072
8,heptane,2048,0.6699280944547451,0.0023541763876111636
9,octane,512,0.690355363228301,0.004213810030254668
10,octane,1024,0.6905120224116461,0.0030145601069283914
11,octane,2048,0.6904675955476127,0.0021905126211620154
12,decane,512,0.7708432708660236,0.0038173332960314173
13,decane,1024,0.7710726538444846,0.002816875601222728
14,decane,2048,0.7711704423503613,0.0019568626654078813
15,pentadecane,512,0.7596526412243958,0.0028307057979456048
16,pentadecane,1024,0.7611131188717272,0.002052972348763789
17,pentadecane,2048,0.7609550363046009,0.0013890145943214096
18,water,512,1.0195484895392442,0.011439259628382256
19,water,1024,1.0189457047375514,0.008142380218532218
20,water,2048,1.019127260353624,0.005535984863607695
