,molecule,size,density_avg,density_std
0,pentane,512,0.604636050776585,0.0066745280173662715
1,pentane,1024,0.6044578226735539,0.004827201582078924
2,pentane,2048,0.6049614159101203,0.003429169561988872
3,hexane,512,0.6423053937678862,0.006101131439143709
4,hexane,1024,0.6421344696941664,0.004183312663610298
5,hexane,2048,0.6425109889934422,0.0028818984767421192
6,heptane,512,0.6694546952868861,0.005240628886032413
7,heptane,1024,0.6698859971121346,0.003821511717337575
8,heptane,2048,0.669731384589012,0.0026036770159819844
9,octane,512,0.6904925017182768,0.0047445203248444754
10,octane,1024,0.6902515891641654,0.0033326745273497
11,octane,2048,0.6907076428684376,0.00235635035710222
12,decane,512,0.770602359728799,0.0044071841463168724
13,decane,1024,0.7707605553149192,0.0031627670678910855
14,decane,2048,0.7710166956017664,0.00227551077965283
15,pentadecane,512,0.7615921261940677,0.0031700086561596607
16,pentadecane,1024,0.7614046039460696,0.0022660408675804896
17,pentadecane,2048,0.7609897965051494,0.001600320063890229
18,water,512,1.0188996740018181,0.01201516034348984
19,water,1024,1.0192765472688594,0.008388601979332614
20,water,2048,1.0192751972464422,0.0058641716743654225
