layer,acronym,id,Structure
HG,PA,HG,O[P@@]([O-])(O)(=O)
HG,PC,HG,O[P@@]([O-])(OCC[N+](C)(C)C)(=O)
HG,PE,HG,O[P@@]([O-])(OCC[NH3+])(=O)
HG,PG,HG,O[P@@]([O-])(OC[C@@H](O)CO)(=O)
HG,PS,HG,O[P@@]([O-])(OC[C@@H]([NH3+])(C(=O)([O-])))(=O)
HG,PP,HG,O[P@@]([O-])(O[P@@]([O-])(O)(=O))(=O)
TG,DD,SN1,CCCCCCCCC
TG,DD,SN2,CCCCCCCCC
TG,DC,SN1,CCCCCCCCCC
TG,DC,SN2,CCCCCCCCCC
TG,DL,SN1,CCCCCCCCCCC
TG,DL,SN2,CCCCCCCCCCC
TG,DM,SN1,CCCCCCCCCCCCC
TG,DM,SN2,CCCCCCCCCCCCC
TG,DP,SN1,CCCCCCCCCCCCCCC
TG,DP,SN2,CCCCCCCCCCCCCCC
TG,DS,SN1,CCCCCCCCCCCCCCCCC
TG,DS,SN2,CCCCCCCCCCCCCCCCC
TG,PS,SN1,CCCCCCCCCCCCCCCCC
TG,PS,SN2,CCCCCCCCCCCCCCC
TG,PO,SN1,CCCCCCCCCCCCCCC
TG,PO,SN2,CCCCCCC\C=C/CCCCCCCC
TG,PL,SN1,CCCCCCCCCCCCCCC
TG,PL,SN2,CCCCCCC\C=C/C\C=C/CCCCC
TG,PE,SN1,CCCCCCCCCCCCCCC
TG,PE,SN2,CCCCCCCCCCC\C=C/CCCCCCCC
TG,SO,SN1,CCCCCCCCCCCCCCCCC
TG,SO,SN2,CCCCCCC\C=/CCCCCCCC
TG,SL,SN1,CCCCCCCCCCCCCCCCC
TG,SL,SN2,CCCCCCC\C=C/C\C=C/CCCCC
TG,DR,SN1,CCCC\C=C/CCCCCCC
TG,DR,SN2,CCCCCCC\C=C/CCCC
TG,DO,SN1,CCCCCCCC\C=C/CCCCCCC
TG,DO,SN2,CCCCCCC\C=C/CCCCCCCC
