Atom Index	Atom Name	Atom Type	Residue Name	Residue Index	Segment ID
1	C1x	C	POPS	1	SYSTEM
2	C2x	C	POPS	1	SYSTEM
3	O1x	O	POPS	1	SYSTEM
4	P1x	P	POPS	1	SYSTEM
5	O2x	O	POPS	1	SYSTEM
6	O3x	O	POPS	1	SYSTEM
7	O4x	O	POPS	1	SYSTEM
8	C3x	C	POPS	1	SYSTEM
9	C4x	C	POPS	1	SYSTEM
10	C5x	C	POPS	1	SYSTEM
11	O5x	O	POPS	1	SYSTEM
12	O6x	O	POPS	1	SYSTEM
13	N1x	N	POPS	1	SYSTEM
14	H1x	H	POPS	1	SYSTEM
15	H2x	H	POPS	1	SYSTEM
16	H3x	H	POPS	1	SYSTEM
17	H4x	H	POPS	1	SYSTEM
18	O7x	O	POPS	1	SYSTEM
19	C6x	C	POPS	1	SYSTEM
20	C7x	C	POPS	1	SYSTEM
21	C8x	C	POPS	1	SYSTEM
22	C9x	C	POPS	1	SYSTEM
23	C10x	C	POPS	1	SYSTEM
24	C11x	C	POPS	1	SYSTEM
25	C12x	C	POPS	1	SYSTEM
26	C13x	C	POPS	1	SYSTEM
27	C14x	C	POPS	1	SYSTEM
28	C15x	C	POPS	1	SYSTEM
29	C16x	C	POPS	1	SYSTEM
30	C17x	C	POPS	1	SYSTEM
31	C18x	C	POPS	1	SYSTEM
32	C19x	C	POPS	1	SYSTEM
33	C20x	C	POPS	1	SYSTEM
34	C21x	C	POPS	1	SYSTEM
35	C22x	C	POPS	1	SYSTEM
36	C23x	C	POPS	1	SYSTEM
37	O8x	O	POPS	1	SYSTEM
38	C24x	C	POPS	1	SYSTEM
39	O9x	O	POPS	1	SYSTEM
40	C25x	C	POPS	1	SYSTEM
41	C26x	C	POPS	1	SYSTEM
42	C27x	C	POPS	1	SYSTEM
43	C28x	C	POPS	1	SYSTEM
44	C29x	C	POPS	1	SYSTEM
45	C30x	C	POPS	1	SYSTEM
46	C31x	C	POPS	1	SYSTEM
47	C32x	C	POPS	1	SYSTEM
48	C33x	C	POPS	1	SYSTEM
49	C34x	C	POPS	1	SYSTEM
50	C35x	C	POPS	1	SYSTEM
51	C36x	C	POPS	1	SYSTEM
52	C37x	C	POPS	1	SYSTEM
53	C38x	C	POPS	1	SYSTEM
54	C39x	C	POPS	1	SYSTEM
55	C40x	C	POPS	1	SYSTEM
56	O10x	O	POPS	1	SYSTEM
57	H5x	H	POPS	1	SYSTEM
58	H6x	H	POPS	1	SYSTEM
59	H7x	H	POPS	1	SYSTEM
60	H8x	H	POPS	1	SYSTEM
61	H9x	H	POPS	1	SYSTEM
62	H10x	H	POPS	1	SYSTEM
63	H11x	H	POPS	1	SYSTEM
64	H12x	H	POPS	1	SYSTEM
65	H13x	H	POPS	1	SYSTEM
66	H14x	H	POPS	1	SYSTEM
67	H15x	H	POPS	1	SYSTEM
68	H16x	H	POPS	1	SYSTEM
69	H17x	H	POPS	1	SYSTEM
70	H18x	H	POPS	1	SYSTEM
71	H19x	H	POPS	1	SYSTEM
72	H20x	H	POPS	1	SYSTEM
73	H21x	H	POPS	1	SYSTEM
74	H22x	H	POPS	1	SYSTEM
75	H23x	H	POPS	1	SYSTEM
76	H24x	H	POPS	1	SYSTEM
77	H25x	H	POPS	1	SYSTEM
78	H26x	H	POPS	1	SYSTEM
79	H27x	H	POPS	1	SYSTEM
80	H28x	H	POPS	1	SYSTEM
81	H29x	H	POPS	1	SYSTEM
82	H30x	H	POPS	1	SYSTEM
83	H31x	H	POPS	1	SYSTEM
84	H32x	H	POPS	1	SYSTEM
85	H33x	H	POPS	1	SYSTEM
86	H34x	H	POPS	1	SYSTEM
87	H35x	H	POPS	1	SYSTEM
88	H36x	H	POPS	1	SYSTEM
89	H37x	H	POPS	1	SYSTEM
90	H38x	H	POPS	1	SYSTEM
91	H39x	H	POPS	1	SYSTEM
92	H40x	H	POPS	1	SYSTEM
93	H41x	H	POPS	1	SYSTEM
94	H42x	H	POPS	1	SYSTEM
95	H43x	H	POPS	1	SYSTEM
96	H44x	H	POPS	1	SYSTEM
97	H45x	H	POPS	1	SYSTEM
98	H46x	H	POPS	1	SYSTEM
99	H47x	H	POPS	1	SYSTEM
100	H48x	H	POPS	1	SYSTEM
101	H49x	H	POPS	1	SYSTEM
102	H50x	H	POPS	1	SYSTEM
103	H51x	H	POPS	1	SYSTEM
104	H52x	H	POPS	1	SYSTEM
105	H53x	H	POPS	1	SYSTEM
106	H54x	H	POPS	1	SYSTEM
107	H55x	H	POPS	1	SYSTEM
108	H56x	H	POPS	1	SYSTEM
109	H57x	H	POPS	1	SYSTEM
110	H58x	H	POPS	1	SYSTEM
111	H59x	H	POPS	1	SYSTEM
112	H60x	H	POPS	1	SYSTEM
113	H61x	H	POPS	1	SYSTEM
114	H62x	H	POPS	1	SYSTEM
115	H63x	H	POPS	1	SYSTEM
116	H64x	H	POPS	1	SYSTEM
117	H65x	H	POPS	1	SYSTEM
118	H66x	H	POPS	1	SYSTEM
119	H67x	H	POPS	1	SYSTEM
120	H68x	H	POPS	1	SYSTEM
121	H69x	H	POPS	1	SYSTEM
122	H70x	H	POPS	1	SYSTEM
123	H71x	H	POPS	1	SYSTEM
124	H72x	H	POPS	1	SYSTEM
125	H73x	H	POPS	1	SYSTEM
126	H74x	H	POPS	1	SYSTEM
127	H75x	H	POPS	1	SYSTEM
